datatime;timestamp;DevDatetime;CO [ppm];CO2 [ppm]
2025-03-17 00:19:26;1742159966;17.03.25 00:29:46;0.2;430
2025-03-17 00:20:26;1742160026;17.03.25 00:30:50;0.2;430
2025-03-17 00:21:26;1742160086;17.03.25 00:31:50;0.2;432
2025-03-17 00:22:26;1742160146;17.03.25 00:32:37;0.2;434
2025-03-17 00:23:26;1742160206;17.03.25 00:33:41;0.2;434
2025-03-17 00:24:26;1742160266;17.03.25 00:34:45;0.2;426
2025-03-17 00:25:26;1742160326;17.03.25 00:35:49;0.2;426
2025-03-17 00:26:26;1742160386;17.03.25 00:36:46;0.2;426
2025-03-17 00:27:26;1742160446;17.03.25 00:37:47;0.2;436
2025-03-17 00:28:26;1742160506;17.03.25 00:38:48;0.2;431
2025-03-17 00:29:26;1742160566;17.03.25 00:39:51;0.2;438
2025-03-17 00:30:26;1742160626;17.03.25 00:40:49;0.2;438
2025-03-17 00:31:26;1742160686;17.03.25 00:41:31;0.2;438
2025-03-17 00:32:26;1742160746;17.03.25 00:42:35;0.2;438
2025-03-17 00:33:26;1742160806;17.03.25 00:43:50;0.2;427
2025-03-17 00:34:26;1742160866;17.03.25 00:44:44;0.2;435
2025-03-17 00:35:26;1742160926;17.03.25 00:45:48;0.2;435
2025-03-17 00:36:26;1742160986;17.03.25 00:46:52;0.2;430
2025-03-17 00:37:26;1742161046;17.03.25 00:47:44;0.2;429
2025-03-17 00:38:26;1742161106;17.03.25 00:48:48;0.2;433
2025-03-17 00:39:26;1742161166;17.03.25 00:49:43;0.2;433
2025-03-17 00:40:26;1742161226;17.03.25 00:50:47;0.2;444
2025-03-17 00:41:26;1742161286;17.03.25 00:51:51;0.2;443
2025-03-17 00:42:26;1742161346;17.03.25 00:52:48;0.2;441
2025-03-17 00:43:26;1742161406;17.03.25 00:53:38;0.2;435
2025-03-17 00:44:26;1742161466;17.03.25 00:54:42;0.2;433
2025-03-17 00:45:26;1742161526;17.03.25 00:55:46;0.2;436
2025-03-17 00:46:26;1742161586;17.03.25 00:56:51;0.2;437
2025-03-17 00:47:26;1742161646;17.03.25 00:57:51;0.2;437
2025-03-17 00:48:26;1742161706;17.03.25 00:58:39;0.2;434
2025-03-17 00:49:26;1742161766;17.03.25 00:59:42;0.2;439
2025-03-17 00:50:26;1742161826;17.03.25 01:00:46;0.2;442
2025-03-17 00:51:26;1742161886;17.03.25 01:01:50;0.2;428
2025-03-17 00:52:26;1742161946;17.03.25 01:02:38;0.2;439
2025-03-17 00:53:26;1742162006;17.03.25 01:03:42;0.2;439
2025-03-17 00:54:26;1742162066;17.03.25 01:04:46;0.2;442
2025-03-17 00:55:26;1742162126;17.03.25 01:05:50;0.2;429
2025-03-17 00:56:26;1742162186;17.03.25 01:06:49;0.2;429
2025-03-17 00:57:26;1742162246;17.03.25 01:07:42;0.2;437
2025-03-17 00:58:26;1742162306;17.03.25 01:08:46;0.2;435
2025-03-17 00:59:26;1742162366;17.03.25 01:09:50;0.2;435
2025-03-17 01:00:26;1742162426;17.03.25 01:10:45;0.2;444
2025-03-17 01:01:26;1742162486;17.03.25 01:11:49;0.2;443
2025-03-17 01:02:26;1742162546;17.03.25 01:12:47;0.2;443
2025-03-17 01:03:26;1742162606;17.03.25 01:13:51;0.2;437
2025-03-17 01:04:26;1742162666;17.03.25 01:14:40;0.2;436
2025-03-17 01:05:26;1742162726;17.03.25 01:15:44;0.2;431
2025-03-17 01:06:26;1742162786;17.03.25 01:16:48;0.2;431
2025-03-17 01:07:26;1742162846;17.03.25 01:17:52;0.2;430
2025-03-17 01:08:26;1742162906;17.03.25 01:18:39;0.2;430
2025-03-17 01:09:26;1742162966;17.03.25 01:19:43;0.2;436
2025-03-17 01:10:26;1742163026;17.03.25 01:20:47;0.2;433
2025-03-17 01:11:26;1742163086;17.03.25 01:21:51;0.2;430
2025-03-17 01:12:26;1742163146;17.03.25 01:22:52;0.2;427
2025-03-17 01:13:26;1742163206;17.03.25 01:23:43;0.2;433
2025-03-17 01:14:26;1742163266;17.03.25 01:24:47;0.2;432
2025-03-17 01:15:26;1742163326;17.03.25 01:25:43;0.2;428
2025-03-17 01:16:26;1742163386;17.03.25 01:26:47;0.2;431
2025-03-17 01:17:26;1742163446;17.03.25 01:27:51;0.2;433
2025-03-17 01:18:26;1742163506;17.03.25 01:28:34;0.2;433
2025-03-17 01:19:26;1742163566;17.03.25 01:29:38;0.2;447
2025-03-17 01:20:26;1742163626;17.03.25 01:30:42;0.2;441
2025-03-17 01:21:27;1742163687;17.03.25 01:31:46;0.2;432
2025-03-17 01:22:27;1742163747;17.03.25 01:32:50;0.2;424
2025-03-17 01:23:27;1742163807;17.03.25 01:33:35;0.2;428
2025-03-17 01:24:27;1742163867;17.03.25 01:34:37;0.2;428
2025-03-17 01:25:27;1742163927;17.03.25 01:35:43;0.2;433
2025-03-17 01:26:27;1742163987;17.03.25 01:36:47;0.2;447
2025-03-17 01:27:27;1742164047;17.03.25 01:37:51;0.2;428
2025-03-17 01:28:27;1742164107;17.03.25 01:38:39;0.2;430
2025-03-17 01:29:27;1742164167;17.03.25 01:39:43;0.2;428
2025-03-17 01:30:27;1742164227;17.03.25 01:40:47;0.1;442
2025-03-17 01:31:27;1742164287;17.03.25 01:41:51;0.2;434
2025-03-17 01:32:27;1742164347;17.03.25 01:42:49;0.2;438
2025-03-17 01:33:27;1742164407;17.03.25 01:43:53;0.2;438
2025-03-17 01:34:27;1742164467;17.03.25 01:44:47;0.2;430
2025-03-17 01:35:27;1742164527;17.03.25 01:45:51;0.2;441
2025-03-17 01:36:27;1742164587;17.03.25 01:46:44;0.2;433
2025-03-17 01:37:27;1742164647;17.03.25 01:47:48;0.2;429
2025-03-17 01:38:27;1742164707;17.03.25 01:48:52;0.2;433
2025-03-17 01:39:27;1742164767;17.03.25 01:49:51;0.2;437
2025-03-17 01:40:27;1742164827;17.03.25 01:50:39;0.2;429
2025-03-17 01:41:27;1742164887;17.03.25 01:51:43;0.2;429
2025-03-17 01:42:05;1742164925;17.03.25 01:52:31;0.2;432
2025-03-17 01:43:05;1742164985;17.03.25 01:53:30;0.2;432
2025-03-17 01:44:05;1742165045;17.03.25 01:54:13;0.2;436
2025-03-17 01:45:05;1742165105;17.03.25 01:55:27;0.2;433
2025-03-17 01:46:05;1742165165;17.03.25 01:56:31;0.2;433
2025-03-17 01:47:05;1742165225;17.03.25 01:57:25;0.2;434
2025-03-17 01:48:05;1742165285;17.03.25 01:58:30;0.2;435
2025-03-17 01:49:05;1742165345;17.03.25 01:59:12;0.2;429
2025-03-17 01:50:05;1742165405;17.03.25 02:00:31;0.2;429
2025-03-17 01:51:05;1742165465;17.03.25 02:01:21;0.2;429
2025-03-17 01:52:05;1742165525;17.03.25 02:02:25;0.2;437
2025-03-17 01:53:05;1742165585;17.03.25 02:03:29;0.2;431
